Seguidores,Favoritos,N°Listas,Resultado
2867318,28509,3213,GANADOR
591507,14893,987,NO GANADOR
721136,15561,1930,NO GANADOR
265987,9046,480,NO GANADOR
1028310,25296,735,GANADOR
193992,10339,232,NO GANADOR
26958,58385,66,NO GANADOR
4838,5666,24,NO GANADOR
67587,12200,222,NO GANADOR
202422,2196,390,GANADOR
31172,10992,98,NO GANADOR
4177,946,21,NO GANADOR
41773,9305,85,NO GANADOR
202503,1368,154,GANADOR
1524,700,4,NO GANADOR
2984,41077,10,NO GANADOR
18293,375,33,GANADOR
2912,6561,6,NO GANADOR
7652,37216,22,NO GANADOR
1821,826,6,NO GANADOR
